Source	Target	IntType	TrueNNVeri	Weight
miR-1	RAD54L2	Activate	0	0.345819
miR-1	RALGPS2	Activate	0	0.155831
miR-1	RARB	Activate	1	0.411910
miR-1	RBM39	Activate	1	0.813216
miR-1	REC8	Activate	0	0.107711
miR-1	RGS11	Activate	0	0.034910
miR-1	RGS22	Activate	0	0.022495
miR-1	RGS4	Activate	0	0.131802
miR-1	RIMS2	Activate	1	0.193451
miR-1	RNF103	Activate	0	0.001223
miR-1	RNF165	Activate	1	0.126483
miR-1	RNF212	Activate	0	0.315012
miR-1	RNF34	Activate	0	0.188573
miR-1	ROCK2	Activate	0	0.065396
miR-1	RPS21	Activate	0	0.220460
miR-1	RQCD1	Activate	0	0.026224
miR-1	RTF1	Activate	0	0.034118
miR-1	SACS	Activate	0	0.108525
miR-1	SAMD12-AS1	Activate	0	0.239931
miR-1	SCARA5	Activate	0	0.140846
miR-1	SCUBE2	Activate	0	0.278459
miR-1	SDR9C7	Activate	0	0.355132
miR-1	SERP2	Activate	0	0.061402
miR-1	SF3B3	Activate	0	0.337600
miR-1	SFT2D1	Activate	0	0.092203
miR-1	SFTPA1	Activate	0	0.071887
miR-1	SGCD	Activate	0	0.008934
miR-1	SHISA5	Activate	0	0.003198
miR-1	SHROOM1	Activate	0	0.075617
miR-1	SIPA1L3	Activate	0	0.316458
miR-1	SLAIN1	Activate	0	0.114709
miR-1	SLC22A1	Activate	0	0.086889
miR-1	SLC25A16	Activate	0	0.064347
miR-1	SLC25A53	Activate	0	0.120530
miR-1	SLC2A8	Activate	0	0.100781
miR-1	SLC2A9	Activate	0	0.147919
miR-1	SLC38A2	Activate	1	0.136741
miR-1	SLC38A6	Activate	0	0.042510
miR-1	SLC38A8	Activate	0	0.230770
miR-1	SLC5A7	Activate	0	0.094745
miR-1	SLC7A7	Activate	0	0.097804
miR-1	SLC8B1	Activate	0	0.022482
miR-1	SLC9A9	Activate	0	0.065122
miR-1	SMOC2	Activate	0	0.126606
miR-1	SNTB1	Activate	0	0.317760
miR-1	SNX29	Activate	0	0.095826
miR-1	SORBS2	Activate	0	0.010019
miR-1	SOX13	Activate	0	0.077822
miR-1	SOX5	Activate	1	0.204089
miR-1	SPAG11B	Activate	0	0.015348
miR-1	SPOP	Activate	0	0.048216
miR-1	SPRR2D	Activate	0	0.066136
miR-1	SPTBN1	Activate	0	0.004589
miR-1	SPTY2D1	Activate	0	0.073934
miR-1	SRRT	Activate	0	0.006262
miR-1	SSUH2	Activate	0	0.084617
