0	gene	DN	DN	DN	ctrl	ctrl	ctrl
1047	CACNG3	10.64412667	10.74281467	10.5421613	9.232900547	9.468420402	7.831623937
1048	CACTIN	10.02983935	10.16100588	9.995248479	9.260997839	9.438029351	9.136136517
1057	CALB2	9.95288682	10.11829223	9.338736383	8.845176387	9.134939643	8.462706751
1059	CALCB	5.797012978	7.783325685	8.505811554	5.617651119	5.462706751	5.296457407
1075	CAMK4	8.15936681	7.753996229	7.737190547	7.229459105	7.014578465	6.776542259
1090	CAPN11	7.238404739	6.671010241	6.388878339	5.385431037	6.307428525	5.311067102
1093	CAPN3	11.53867395	11.67780772	11.2244841	9.965784285	9.420802382	9.092757141
1112	CASP2	8.831069678	9.160438719	8.974844753	8.268308062	8.367414751	8.025001101
1121	CASR	7.307428525	8.004501392	7.692789835	5.871597266	6.189824559	4.545350645
1125	CAV1	9.261624836	9.457586084	8.824958741	7.990387652	8.322829498	7.714245518
1131	CBL	8.146695948	8.87682387	7.887525271	5.053111336	6.82527683	6.839203788
1139	CBX2	9.221345444	9.623698627	6.298291731	4.343407822	5.402585758	4.432959407
1153	CCDC22	9.212374788	9.894666212	8.391028727	7.016808288	7.328226119	7.159871337
1157	CCDC64	9.826389591	9.962462264	10.14644139	8.108001646	8.839203788	9.141085319
1158	CCDC69	12.16421557	12.28219073	11.71621929	10.02513956	10.66693408	10.6121313
1160	CCDC86	6.364572432	6.551516018	7.408542042	5.074676686	5.66106548	4.781359714
1165	CCHCR1	10.08832449	10.15993439	10.11048331	8.773304077	9.124767536	8.875442199
1178	CCL19	7.23935985	7.618385502	6.844234988	5.692092375	5.205548911	5.422905743
1184	CCL25	9.913936556	10.44615282	10.76013776	8.341630009	8.890264277	9.18611424
1185	CCL27	7.328226119	7.187846909	7.460251099	6.753551055	6.390598906	5.757556689
1186	CCL3	9.995625842	9.681765488	9.818422402	8.680886921	8.642051693	8.131856961
1194	CCNB2	6.668175869	6.098032083	7.270528942	4.64385619	4.897240426	4.529820947
1195	CCNC	8.438999719	9.147840894	8.394033895	7.213833283	7.925109324	7.766528909
1197	CCND2	9.293701542	9.020424415	9.369270167	8.606405213	8.325305455	8.295998462
1201	CCNF	10.11408848	10.31873034	9.124896746	8.942514505	8.68708379	8.038004261
1215	CCR5	6.482202926	6.595443985	4.572889668	4.465974465	4.705977902	4.247927513
1218	CCR8	8.601399391	7.854868383	5.757556689	5.311067102	5.28169825	6.211401637
1232	CD101	7.128252152	6.607330314	6.464341533	5.575917361	5.897240426	5.776103988
1235	CD160	7.907491593	6.642412773	6.783980414	5.9795681	5.590961241	6.490249211
1236	CD163	8.871905238	9.341073993	8.83904628	7.961160258	8.185123207	7.570994129
1245	CD2	9.995060467	9.06501215	9.450798854	8.042753761	8.570994129	8.40173285
1249	CD24	10.44584255	10.32136443	10.64880695	8.669239411	9.03094296	9.605109074
1251	CD27	6.348728154	6.99095486	7.677367292	3.857980995	5.339850003	4.193771743
1252	CD28	8.080018029	5.44625623	8.111657346	5.017921908	3.432959407	3.925999419
1255	CD300A	8.490249211	8.387586566	7.986979709	6.826548487	7.265849421	7.123086751
1259	CD34	14.21410659	13.90552803	12.91428235	12.47869379	12.39277356	12.9789964
1273	CD5	8.624612709	9.260449141	7.933690655	7.159871337	7.641690523	7.447909749
1282	CD68	11.6010279	10.68650053	10.92510932	10.22025739	10.18982456	9.903580625
1284	CD69	8.736063628	9.071998581	8.607700188	7.151777655	6.961160258	7.317412614
1286	CD70	8.296916207	8.933690655	10.09354961	6.680886921	7.404290064	7.269594252
1287	CD72	10.59954097	8.335390355	9.410451352	7.184875343	7.749534268	7.9795681
1290	CD79B	8.946321477	7.447909749	9.563577635	5.995484519	6.512542955	7.563005553
1299	CD93	9.082681303	9.189330401	10.17430154	8.050936965	8.167418146	8.907491593
1310	CDC23	9.274960472	9.428778891	8.983563697	8.505811554	8.047669251	8.422905743
1328	CDH1	8.770663893	9.061101126	8.528649452	6.292781749	6.41869595	7.330916878
1330	CDH12	9.116993678	9.132114103	8.096715154	7.557272223	7.271929844	5.002252452
1340	CDH4	10.15228484	11.09822952	10.53935271	7.813139851	10.2772874	8.853933289
1354	CDK18	9.757000904	8.645538113	9.791379928	8.037455255	8.277984747	8.758778196
1367	CDK8	9.778487861	9.733608553	9.738767837	8.777912804	8.79246496	8.572700226
1371	CDKL5	9.447599858	9.482001193	8.448116305	6.986979709	7.990387652	7.684397984
1377	CDKN2C	10.59208323	10.4718784	9.737754352	9.085074053	9.46168407	8.809928866
1388	CDSN	8.737754352	7.525129251	7.795065583	6.916476644	6.921245889	6.571373436
1392	CDX2	9.712612975	10.00842862	9.428569547	8.791488517	9.274378153	8.446669787
1398	CEACAM5	8.005624549	8.876209958	9.213954758	7.40045254	7.568336182	6.815703503
1402	CEBPA	11.74155125	11.66888498	10.66640155	9.814582466	8.838888755	10.28655776
1405	CEBPE	8.730300298	7.828453874	6.944858446	5.498250868	5.694880193	6.201633861
1408	CECR7	11.75526316	11.7697139	11.64655871	10.92243574	10.89587818	10.95252286
1409	CEL	7.374170076	7.550746785	6.809928866	6.194756854	6.153805336	5.274261661
1417	CELP	10.48502423	9.50084188	7.816343705	7.319220503	7.208478242	6.501439145
1420	CELSR3	10.53313502	10.03768422	10.23912113	8.886306263	9.278449458	9.346292104
1432	CEP152	6.98982022	8.117383367	7.840463234	3.523561956	3.523561956	3.887525271
1446	CETN1	5.652486495	6.58044702	5.974988112	4.044394119	3.87774425	4.614709844
1457	CFHR3	10.98726401	11.3369528	9.721099189	9.29209152	9.592830744	8.767853393
1458	CFHR4	6.076815597	6.015693807	5.181897643	3.459431619	5.510961919	3.232660757
1464	CGA	8.040563711	7.699745948	7.214319121	5.129283017	5.736063628	7.470862199
1479	CHD5	6.456149035	7.238404739	6.920055055	6.081083929	4.596935142	5.439623138
1482	CHEK1	7.479780264	6.669593751	7.599168993	4.472487771	4.548436625	3.121015401
1486	CHGB	8.22881869	6.314696526	8.630449157	5.569855608	5.06608919	6.207502459
1490	CHKA	7.5360529	8.160879862	7.290018847	6.708739041	6.663913842	6.568336182
1500	CHN1	9.416797528	9.201878863	9.704595348	9.223277733	7.696272084	8.044940491
1502	CHP1	9.568526198	9.407055275	9.689124405	9.120497098	8.77774846	8.695924237
1509	CHRNA1	7.055282436	8.987548259	7.190812368	4.193771743	5.722466024	3.925999419
1511	CHRNA3	6.106432078	5.133399125	6.153805336	3.584962501	4.902073579	4.329123596
1520	CHRNE	8.403864177	8.204082012	9.303780748	5.857980995	5.569855608	5.62058641
1541	CITED1	6.753551055	8.136991112	7.344295908	5	6.844234988	4.44625623
1548	CKM	8.892087397	7.466790238	8.905387005	6.701826258	6.04220656	7.197708158
1557	CLCA1	5.40599236	6.081083929	5.744161096	4.95419631	4.791814071	3.44625623
1560	CLCN1	9.419117482	7.671717965	8.808320689	7.208478242	6.770829046	6.816343705
1564	CLCN5	9.518259729	8.688600011	9.000281749	7.910492832	6.022367813	7.581200582
1569	CLDN10	9.16817066	9.938844457	10.25679839	8.606960345	8.186857067	8.497851837
1570	CLDN14	9.328450541	8.575539247	8.713558356	7.560714954	8.034523875	7.211401637
1573	CLDN4	10.66506938	11.41018632	9.364791271	7.631540867	7.638073837	7.338067798
1579	CLEC10A	9.38024459	9.3369528	9.673132372	7.684397984	8.847057346	6.601399391
1580	CLEC11A	11.23164121	10.6994857	11.25933134	10.33002052	10.03273453	10.46740177
1585	CLGN	7.320123598	5.925999419	5.897240426	4.053111336	4.754887502	5.572889668
1605	CLPTM1	11.57936308	11.62054059	11.34012827	10.65176927	10.62278397	11.00919879
1616	CLUL1	7.002252452	5.935459748	5.008988783	5.395748328	3.596935142	3.350497247
1633	CNNM2	9.303666606	9.124767536	8.243888012	7.918863237	7.131342539	7.357991784
1644	CNR2	6.705977902	7.333602628	7.214319121	6.332707934	4.897240426	5.752213368
1645	CNTF	7.666756592	8.356672044	7.060695932	4.944858446	6.085339669	5.578938713
1648	CNTN2	11.79672915	11.87494294	12.10266469	10.92599942	11.23146121	10.82559485
1658	COCH	7.349612972	6.894817763	4.981852653	2.608809243	3.797012978	2.963474124
1665	COL11A1	7.847996907	5.703211467	7.856114234	5.157852169	5.277984747	5.432959407
1666	COL11A2	10.15350897	10.37054139	8.998026216	7.920253397	8.127736444	8.553181154
1668	COL14A1	7.598796925	7.006746832	7.889047583	7.38024459	5.031218731	5.167919866
1671	COL17A1	7.021257621	6.529820947	6.046578367	4.40599236	5.416164165	4.812498225
1674	COL1A1	9.226653023	8.50322946	8.040289721	7.098558518	7.763876285	7.615077832
1680	COL4A2	14.45240857	14.13175248	14.07865953	13.19524916	13.22419768	13.45893202
1693	COL9A3	8.535664191	7.213347282	6.635173947	5.224966365	4.5360529	4.217230716
1698	COMP	8.462161139	8.597928144	8.299360524	7.981091157	6.805635545	6.993975458
1712	COQ7	7.569855608	8.828136484	8.506208389	6.638073837	6.390598906	7.574404309
1714	CORO1A	8.070925945	7.516487981	9.532745527	6.456149035	6.362820526	7.254556252
1725	COX6A2	10.20236874	10.9893945	10.5432252	9.486633935	9.473299871	8.382840144
1734	CP	9.481597642	10.12786539	8.997461781	7.626439137	8.797661526	8.156841525
1743	CPLX2	7.911691582	7.987548259	7.129283017	5.48864354	7.155830172	5.970393538
1747	CPNE1	12.9607079	12.81820268	12.76074074	11.51584765	11.57856139	12.54332188
1749	CPNE6	13.0500697	12.83101028	12.66458061	11.93976285	12.05372229	11.37737323
1752	CPS1	8.72417275	7.907491593	7.661778098	5.951867504	6.845490051	5.50779464
1777	CRH	8.139551352	8.581200582	8.764871591	5.587964989	7.545350645	6.397460726
1779	CRHR1	9.964052011	10.48386615	9.95288682	8.956811732	9.667909861	9.025001101
1780	CRHR2	10.49628757	10.6231499	10.22685288	9.532096002	9.530211233	9.554908435
1782	CRIP1	10.91535657	11.22599064	11.72783539	9.669770889	10.22617132	10.15469155
1786	CRISP3	8.693138438	9.20994068	8.940754047	7.417852515	7.642412773	6.490249211
