incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR726	lnc-ZNF704-8:1	3.0335524	3.165049	2.6678116	1.7555275	1.4710765	0.9830257
incR727	lnc-ZNF716-24:3	6.4420543	6.3371267	6.1443563	5.966501	6.042271	5.4644675
incR728	lnc-ZNF724P-1:6	5.373596	5.311121	5.238924	4.9964085	4.478115	4.819728
incR729	lnc-ZNF726-2:1	2.3668275	2.0614154	1.541808	0.90043646	1.4616921	0.8174859
incR730	lnc-ZNF727-1:1	3.7062497	3.9558978	3.4959311	1.2768908	2.914104	1.6613275
incR731	lnc-ZNF732-4:1	3.1462123	2.5912313	2.3048158	1.9139974	0.9895031	0.9942138
incR732	lnc-ZNF788-1:4	2.7755492	1.8507676	3.37434	0.8619507	1.460213	1.4399323
incR733	lnc-ZNF80-3:1	5.606469	5.916091	5.644018	4.7447877	4.3320155	4.1017237
incR734	lnc-ZNF80-4:10	6.1235175	6.463464	5.89092	5.444765	4.924381	4.923809
incR735	lnc-ZNF80-4:4	5.5995502	5.9520655	5.190388	5.0849304	4.910962	4.927544
incR736	lnc-ZNF85-1:1	4.218462	4.317555	4.4906316	3.947095	3.9402068	3.455773
incR737	lnc-ZNF99-1:1	3.6178572	3.293883	3.5512135	2.811842	2.5371308	2.890307
incR738	MIS18A-AS1:2	5.1003146	5.2793555	5.008881	4.7561812	4.022166	4.748212
incR739	PCDH9-AS2:3	5.134205	5.182573	4.736917	4.044805	4.1563997	4.3679576
incR740	PSMA3-AS1:25	5.0322433	5.122203	4.893835	4.733852	4.401561	4.5567417
incR741	PTOV1-AS2:6	2.1800447	1.975186	1.6354978	1.0369272	0.9920285	0.97954124
incR742	SLC8A1-AS1:33	5.896612	5.7050543	5.371865	4.4652348	4.9519615	5.2212143
incR743	STARD13-AS:18	4.6276503	4.39104	4.63992	3.5055754	3.8546886	3.4194334
incR744	TCF4-AS1:1	3.8514464	3.76	3.9022913	3.1816785	2.5536294	2.3165486
incR745	THRB-IT1:1	4.9150066	4.9655185	4.3865776	3.4432049	3.8010116	3.8511438
incR746	TMEM44-AS1:1	6.1211123	6.0863523	6.2430525	5.621669	5.481018	5.522788
incR747	ZBED3-AS1:18	3.240764	3.400714	3.1023345	2.7436411	2.868015	2.578976
TF1	RELA	8.541536	8.66853	8.393459	8.525222	8.450988	8.803338
TF2	STAT3	7.392086	7.694097	7.496339	7.487612	7.332617	7.537051
TF3	STAT5A	4.759438	4.681675	4.632757	4.792708	4.604263	4.781927
TF4	STAT5B	5.201028	5.041712	5.511712	5.443866	5.622433	5.248107
TF15	HIF1A	1.6745822	0.9294378	0.8408892	2.3810606	2.0854297	3.100571
