0	gene	DN	DN	DN	ctrl	ctrl	ctrl
1146	CCBL1	10.54027337	9.915804703	10.15860969	11.00601043	11.02966683	11.55120357
1237	CD164	10.26138977	10.93479659	9.709773108	11.62552621	11.51963625	11.10204131
1246	CD200	9.261624836	9.636805852	9.719902144	11.13031315	10.58195375	11.86085419
1253	CD2AP	10.17866485	10.45090193	8.124121312	12.03689478	12.03634535	11.63743998
1270	CD46	11.07059058	12.1534887	10.93376441	12.5210851	12.56973696	12.13628625
1271	CD47	7.740792672	7.684397984	7.102763097	8.559377091	8.773139207	8.465974465
1276	CD55	6.982993575	8.224001674	7.912889336	10.07761687	9.522385366	9.154564982
1278	CD59	11.67556015	11.9727465	11.48162287	12.71424552	12.4947806	12.43663347
1305	CDC14A	6.368069877	8.820498107	8.033973543	9.696967526	10.37818646	9.89284635
1322	CDC42EP3	9.100136671	10.01248487	10.01820018	12.32505243	12.1798469	12.58383495
1332	CDH15	8.755889026	8.291400959	7.868513924	9.849561482	9.486432821	10.00758797
1351	CDK14	8.597307691	8.546508661	8.755221421	10.0452136	10.44066157	9.846273911
1374	CDKN1C	12.76240965	12.43797725	13.47317301	14.6891386	14.68759603	14.50260994
1386	CDS1	6.382840144	6.95942242	6.287250643	9.603348164	9.498450341	9.16201361
1390	CDV3	10.73783884	11.39280039	10.55310126	11.88088446	12.0563837	11.63574079
1404	CEBPD	11.45707302	12.31817559	11.73699377	13.12439599	13.2748877	12.32699117
1429	CEP112	5.504620392	5.133399125	5.325530332	7.524345816	7.709428501	6.447909749
1440	CEP57	5.99095486	7.05853297	5.894817763	8.682994584	7.854245054	8.541096615
1443	CERS6	8.592830744	8.186361891	9.144913113	9.614341763	9.966505452	9.797499416
1447	CETN2	10.31989788	9.812016819	9.592083234	10.60362634	10.72340497	10.89246692
1453	CFH	8.484621527	8.277054876	8.870672955	9.394677046	9.653024179	9.26185986
1477	CHD3	10.93979957	11.33142084	11.44501485	12.54600214	12.21877511	12.42235391
1487	CHI3L1	9.344739746	9.059074015	11.32327999	13.20131223	13.05695941	12.99560818
1504	CHPF	8.773798574	9.837627933	9.088788239	10.35645197	10.23457796	10.80122334
1506	CHRDL1	10.17305246	9.64385619	9.393390457	10.13878376	10.83447105	10.8621724
1524	CHST2	7.250772132	9.2772874	9.536830005	11.02167404	11.14459452	10.31854281
1537	CILP	6.701826258	6.048759312	5.958842675	7.90147032	7.671717965	7.252665432
1539	CIRBP	12.01621633	12.30853813	12.09780171	12.7469971	12.67494256	13.10189362
1542	CITED2	9.310612782	9.696272084	8.773798574	10.56548294	10.83715484	10.29404631
1546	CKAP5	7.834787049	8.521992956	7.671010241	9.079218087	8.991521846	8.907791998
1581	CLEC16A	9.805743872	9.916924431	10.18945396	11.57629538	11.34446236	11.60904019
1589	CLIC5	9.124638314	9.205304532	10.09961081	13.80659997	14.19577973	13.57008101
1591	CLIP1	9.81602364	9.752547906	9.14822234	10.75388528	10.81594361	10.41774705
1593	CLIP3	9.519439687	8.820178962	8.973553879	11.22345875	11.17841587	11.09354961
1618	CMAHP	11.30788385	11.39178061	9.903429992	12.52027491	12.57165785	12.94176291
1627	CNIH1	9.457586084	10.30378075	10.10721708	10.72135557	10.98441846	11.12941182
1678	COL3A1	8.40173285	7.408542042	7.968666793	9.142107057	9.518653156	9.488241843
1681	COL4A3	9.691510785	9.792627636	9.060245492	10.8433448	11.73113486	11.58507192
1682	COL4A4	4.760220946	4.5360529	6.665335917	8.591709333	9.813781191	8.701479748
1683	COL4A5	8.528258743	8.128252152	8.141596278	10.232301	10.47370575	9.98982022
1696	COLQ	7.478971805	7.284477118	7.461070114	9.52767248	9.011227255	9.056908618
1716	CORO2B	8.516881891	9.632449995	10.06971828	11.52321888	11.76611476	11.96412423
1727	COX6C	10.58383495	11.31316648	10.87505817	11.96632519	11.38963134	11.85288058
1751	CPQ	9.018617484	9.54660512	9.610655774	10.13391281	10.39494494	10.50382574
1759	CR1	6.404857663	7.417570698	6.490249211	8.810892912	9.381110294	8.541612795
1769	CREB3L2	9.714073758	10.06110113	10.27891402	11.39515922	11.52786793	11.55444496
1816	CSDC2	9.729620744	8.969242604	10.07481046	10.00225245	10.81650371	11.18827975
1831	CSNK1A1	9.721697339	10.06251841	9.77363376	11.46727439	10.72438595	10.56500685
1869	CTDSPL	9.741635516	10.10348453	10.49029936	12.00293805	11.4863574	12.01719119
1871	CTGF	11.44242519	11.53303766	12.15054064	13.10626848	13.3184722	15.57163119
1874	CTNNA1	11.99367542	11.8387706	12.06574126	12.94693057	12.83350603	12.8500696
1878	CTNNBIP1	9.177170346	7.147713722	8.175424799	10.38930867	10.09711036	10.98220929
1917	CXADR	8.740118043	5.491853096	8.548051238	12.0725346	12.03256236	10.82265049
1960	CYP1B1	8.614341763	7.254556252	5.414473836	9.662935352	9.807676916	10.50253349
1995	CYR61	8.184875343	7.100136671	8.392317423	9.642412773	9.695924237	9.198199455
2005	DAG1	11.085738	11.21607891	11.74710203	13.21659431	13.39211614	13.42956366
2010	DAPK1	9.325080544	9.284939742	8.695924237	9.767191303	9.991238381	9.934870291
2018	DBF4	5.817623258	5.887525271	5.797012978	7.375908263	7.495055528	6.03562391
2027	DCAF8	10.53089398	10.5574637	9.843764057	12.07437565	11.97491643	12.26318116
2036	DCTD	9.862249901	9.761800525	10.71179601	11.59472115	11.10479529	11.7957353
2040	DCTN5	8.146186791	6.778734244	6.95070169	8.54303182	8.76884596	8.05853297
2042	DCUN1D4	8.974988112	9.50442177	8.822092774	9.816343705	9.940607246	9.894363061
2049	DDHD2	9.899054756	10.00379897	9.366977836	10.74374047	10.58261245	10.83644491
2053	DDN	8.754887502	6.608809243	10.29266673	13.59787797	13.48217771	12.91023047
2059	DDX1	9.276822315	9.436919708	8.819221104	9.936785145	10.43170652	10.38521531
2062	DDX17	11.74340389	11.49830074	11.70884679	12.90693756	13.05173575	13.08423538
2090	DEK	9.878817285	10.26620091	9.669062209	10.71201105	10.8869159	10.73454028
2098	DESI2	8.554588852	8.902375114	8.832573599	9.40641762	9.312202278	9.617283788
2104	DGCR11	7.798309782	7.806710718	7.21042783	8.296916207	8.384136172	8.663913842
2160	DKK1	3.485426827	5.62935662	4.307428525	7.048759312	7.14974712	4.921245889
2172	DLG5	9.61856904	10.01639046	9.321477182	11.01339247	10.71544726	10.36347774
2184	DMD	8.250298418	8.653919873	5.678071905	9.472690839	9.658390023	9.762382039
2195	DNAH7	5.354028938	6.209453366	6.031218731	8.396176618	7.525912261	6.123086751
2197	DNAJA1	10.71531855	11.40761299	11.10039953	12.63730412	12.43710183	11.52908887
2207	DNAJB9	7.184875343	6.272396509	4.95419631	9.156841525	9.536441505	8.378078056
2213	DNAJC24	5.157852169	3.307428525	4.112700133	5.860466259	5.523561956	5.754887502
2265	DPP6	8.698878266	8.61176256	9.487639087	12.69209238	12.25378841	10.47172601
2273	DPYSL3	7.019034669	7.047669251	8.657854336	11.10184439	11.47477064	11.49455562
2295	DST	8.511456179	8.720586291	8.767439623	9.852217373	9.926555449	9.929443358
2296	DSTN	12.47682213	12.55801406	12.12421826	13.22216094	13.10200849	13.58251837
2306	DUSP1	12.17906935	12.66460283	11.02804418	14.03957882	13.75780667	12.86994079
2309	DUSP14	8.744833837	9.661421833	9.417008587	10.33427329	10.27554256	10.41795797
2318	DUT	10.4003458	10.83003978	11.48356389	11.99084853	11.81730348	11.8500696
2325	DYNC1I1	7.762548143	7.666046429	7.408542042	8.709773108	9.096715154	8.977279923
2331	DYNLT3	11.15766273	10.9518675	10.61820194	11.45717564	11.61406564	12.10607214
2332	DYRK1A	8.868637384	9.441076735	8.149239039	9.841690136	9.866197085	9.621868725
2391	EFR3A	9.433794059	9.950410089	8.901771981	10.98818761	10.61360532	10.59963394
2402	EHBP1	9.441284272	9.828295188	9.621502465	10.54341855	10.42322098	10.39145842
2406	EI24	9.754052368	10.70623698	10.76412518	11.67507492	11.32968424	11.666224
2407	EID1	9.998449397	10.44646302	10.20799043	11.05656998	11.67078901	11.62479546
2412	EIF2A	6.888743249	5.663913842	5.944858446	8.485024233	6.619119511	8.011227255
2426	EIF3E	10.73826118	10.78724961	10.30000929	11.27751989	11.38645531	11.90365594
2431	EIF3J	6.927185358	5.776103988	6.437960088	7.958842675	7.797012978	7.936637939
2433	EIF3M	10.09103862	11.02838958	10.4323331	12.95938619	12.98265496	12.44491135
2471	ELOVL5	10.26643519	10.26373867	9.421538907	10.87563418	11.12247213	10.71467483
2475	EMC2	8.77280941	8.642773763	7.982993575	9.717847754	9.427522371	9.283551423
2501	ENPEP	9.399171094	8.933690655	10.09500135	13.77904216	13.63100649	11.90026304
2513	EP400	6.563768278	8.401946124	6.682292371	8.442528869	8.608254822	8.62406433
2541	EPS15	9.591522347	10.41076932	9.802193217	11.23206111	11.19068893	10.98633982
2549	ERBB4	6.621319301	7.516487981	6.61176256	8.929998063	8.498051366	8.966649642
2586	ESYT1	9.756556323	10.09842693	10.17978471	10.7445816	11.16018658	11.21650337
2587	ETF1	10.7867597	11.0980979	10.46464785	11.49530542	11.79681025	11.96711816
2600	EVI2A	5.031218731	5.832890014	4.129283017	7.447083226	7.635173947	7.6387979
2608	EXOC3	8.777419716	8.680183682	8.275658945	9.48058827	9.332036548	9.673132372
2616	EXPH5	8.05012073	8.757056592	8.496054832	11.21801826	11.19059634	12.16835873
2635	F2R	7.995484519	7.765534746	8.368506462	10.76644609	11.02673091	10.76379331
2639	F3	7.652486495	8.233140296	8.759222426	11.29059489	11.3459596	11.11536884
2640	F5	6.068240861	5.714245518	6.831623937	8.054197294	8.187846909	9.284939742
2668	FAM127A	12.27152139	11.50193668	12.21525997	12.74249892	12.67050135	13.20638865
2677	FAM153A	7.758889433	7.443772393	6.321928095	11.00021132	10.65096197	11.19654066
2682	FAM168A	5.956521363	6.153805336	6.782670659	7.793765857	8.03562391	7.700439718
2697	FAM20B	9.832731815	8.918863237	9.313109776	10.77544567	11.14695046	11.19715525
2705	FAM49A	6.54225805	5.8899602	4.921245889	7.124121312	7.383704292	7.54689446
2707	FAM50B	7.515699838	7.390598906	7.247927513	9.183883459	8.966072795	8.859845344
2716	FAM98A	6.477353527	7.969818186	8.586089166	10.55573948	10.47613863	10.6674664
2722	FANCL	7.346070441	7.349612972	7.555356039	8.206037546	8.70286529	8.080551077
2725	FARP2	9.087197616	9.069315495	8.73470962	10.59507095	10.55382126	10.10564665
2732	FASTKD2	6.385431037	5.43629512	4.285402219	6.610286657	7.431288654	7.258330473
2733	FAT1	10.39081383	10.93442804	11.39981196	13.53924364	13.46306452	13.51672188
2745	FBXL2	8.35974956	6.826548487	5.44625623	9.258094873	8.831307244	9.070389328
2748	FBXL7	10.5846807	10.0302533	10.02195159	10.97219004	11.43764805	10.74112987
2770	FCHSD2	10.41626974	10.64051609	10.00744782	11.39376583	11.11809752	10.99364606
2782	FER	7.454504938	7.363696745	7.897542973	8.283551423	8.480790201	8.256680466
2783	FERMT2	11.66057535	11.87624833	11.01875656	12.85180759	12.78267066	12.98852493
2792	FGF1	10.81410175	10.50541461	11.62598275	14.86797849	14.75810347	14.54961022
2803	FGF9	6.995484519	8.939726121	8.917819589	10.68755065	10.73013044	9.122310343
2816	FHL1	10.47431435	10.76859788	10.16528389	11.16106888	11.49545533	11.45727827
2833	FKTN	6.388878339	5.189824559	4.566815154	7.319220503	7.029011087	6.804776378
2839	FLNA	11.21234439	11.59217669	12.58904248	12.95263206	12.71472848	13.55213471
2841	FLNC	7.765534746	8.085339669	7.731319031	8.824004051	8.396176618	9.437544026
2860	FN1	9.581200582	10.15342536	9.946126394	10.63378174	10.75165535	10.82943179
2861	FNBP1	11.22713456	10.8591465	10.7874945	12.12767197	11.76938331	12.06968471
2862	FNBP1L	9.678071905	10.169925	8.495455333	10.63172274	10.81129441	10.545061
2865	FNTA	10.91371222	11.21798798	10.75913919	11.70208609	11.80562297	11.82958401
2873	FOSL2	9.35974956	9.548051238	10.24495839	10.91670056	10.76096938	10.91064273
2876	FOXC1	8.378511623	8.482606308	9.057179471	12.30426575	12.3346085	11.79656693
2909	FRY	8.358431429	9.142447391	9.395391251	11.33114088	12.01690089	11.5923636
2943	FXYD1	7.5360529	9.373952655	9.812658658	10.71269894	10.95891516	10.49095113
2947	FYN	10.79013098	10.85276357	10.64445659	11.90797972	12.13344183	11.60265248
2950	FZD2	9.958842675	9.794578323	10.11653891	10.5219439	10.66217879	10.9665415
2958	G3BP2	9.83019827	10.18214602	9.136478518	11.02340784	11.42872656	11.16239133
2962	GAB2	9.314696526	9.243888012	8.933395595	10.4121464	10.13404121	10.69270267
2970	GABPB1	5.350497247	5.668175869	5.464341533	7.09592442	6.728600811	6.832890014
2988	GADD45A	9.89542381	10.73394743	9.743319727	11.45476195	11.53055265	11.58960434
2998	GALC	9.167418146	9.088788239	4.822730148	10.4003458	10.55151602	10.73225224
3019	GAS1	10.87421293	11.01007348	10.66360258	14.37806789	14.56578339	13.10689005
3038	GBE1	10.13031315	9.811695792	10.66595763	10.96058121	11.01325288	11.15595663
3064	GDE1	8.434628228	7.748863715	9.533913701	9.947052437	10.11113567	9.51412226
3073	GEMIN2	5.809928866	4.776103988	5.074676686	7.073606041	7.302867361	6.48058827
3095	GHR	6.675251386	8.011227255	8.157852169	9.570235215	9.373735202	8.700092875
3106	GJA1	8.368506462	8.604923816	9.190195067	10.34856219	10.70869594	10.92637013
3108	GJA5	11.20683123	10.98697971	10.92325319	11.93638029	11.76030413	12.46681572
3132	GLOD4	9.006746832	8.969242604	9.245077275	9.998449397	10.18375943	9.970824901
3145	GLUD2	9.655709596	8.368069877	9.411934625	10.92392168	10.45265309	10.29485046
3146	GLUL	10.11191811	9.827342704	9.622234891	12.36673201	12.0363797	11.49485558
3149	GMDS	7.838573653	7.300123725	8.051480865	11.90989308	11.84599961	11.13493964
3150	GMFB	8.492654371	9.035073997	7.957102042	10.88164933	10.7445816	10.65839002
3175	GNE	8.98982022	9.907191126	9.329123596	10.57213175	10.43045255	10.412464
3177	GNG12	10.00436094	10.41795797	9.787902559	10.83296911	10.81578354	10.78152365
3200	GORASP2	8.696967526	8.625708843	9.454402119	9.720757277	9.675163156	9.825435849
3215	GPC4	3.419538892	6.316507819	4.129283017	8.615077832	8.489446599	8.501837185
3227	GPNMB	9.03562391	9.178913785	8.646738698	10.53585856	10.60362634	10.51943969
3232	GPR125	4.733354341	5.827819025	6.682292371	7.091699834	8.588714636	7.99095486
3260	GPR65	5.584962501	4.749534268	5.137503524	6.263034406	6.852997588	5.563768278
3264	GPRC5A	7.220136447	8.227615943	9.397781575	11.19743173	11.12512284	10.45126264
3291	GRIK2	8.256208689	8.581765495	9.412781525	10.87163577	10.20200135	9.65901474
3304	GRK5	9.925702781	10.24810547	10.9685948	12.01010845	12.02908013	11.03867898
3321	GSK3B	8.059344461	7.326878855	7.523561956	8.671541067	8.73454028	8.486030507
3322	GSN	11.20132755	11.91718558	11.47177681	12.43819407	12.48879415	12.12460601
3328	GSTA4	10.42898821	10.33024466	9.527281506	11.47390865	11.46388194	11.02250653
3339	GTF2A2	9.944931633	10.31910758	10.55449292	11.23400906	11.25204447	11.85607532
3340	GTF2B	7.304693557	7.788555215	6.874468708	8.375618566	8.069136086	8.13562362
3372	GULP1	7.885086225	8.174925683	8.021257621	9.09434165	9.611393726	9.188836073
3377	GYG1	8.540321806	8.471268764	8.892998093	10.27414516	9.888591058	10.3561218
3395	H2AFX	7.594697827	6.131342539	6.846744023	7.536830005	8.894514644	9.215775653
3473	HES1	10.65856854	10.52698821	10.91034292	11.88149638	11.63335855	11.07494422
3495	HIPK1	9.46943832	9.647098607	8.713901978	10.05866825	10.37297386	10.47866852
3496	HIPK2	6.984133595	7.669593751	6.199672345	8.585338154	8.417852515	8.858291887
3498	HIRA	6.050936965	7.903279342	7.783980414	8.588714636	8.595816919	8.642773763
