incR0	lncipediaID	Case1	Case2	Case3	control1	control2	control3
incR978	lnc-DDX20-4:2	6.4140224	6.551402	6.6632504	6.70748	7.2016573	6.949404
incR979	lnc-DDX39A-2:2	3.1139638	2.9906714	2.4156477	3.3186104	3.4751558	3.599169
incR980	lnc-DEFB124-2:2	4.7789645	5.185965	4.684127	5.2713704	5.9440556	5.842523
incR981	lnc-DEK-1:1	3.8534284	3.562393	4.2642126	4.5513954	4.488627	4.914721
incR982	lnc-DENND4B-4:1	0.91389996	1.0218121	0.9144736	1.7061763	1.7091696	2.216312
incR983	lnc-DERA-4:3	4.624019	4.6622396	5.0397964	5.2861805	5.2372503	5.1521792
incR984	lnc-DHCR7-5:1	6.3887997	6.345081	6.5810795	6.6568413	7.0676546	6.78278
incR985	lnc-DHRS7C-1:1	2.2656791	0.97932196	1.2231034	3.039896	2.642803	2.9825873
incR986	lnc-DHRS7C-2:3	1.5299993	0.95791364	1.5518638	2.7800167	2.1991458	1.99091
incR987	lnc-DHX37-18:1	0.88591063	1.6264827	0.9280942	2.0310996	1.7967443	1.9594235
incR988	lnc-DHX37-6:3	2.2739758	1.8983753	1.1397836	3.1093931	2.4028482	2.8087428
incR989	lnc-DIAPH2-11:1	4.603352	4.738121	4.883667	5.1489215	5.2099566	5.23861
incR990	lnc-DIAPH3-9:1	4.66775	4.843565	4.619831	4.9714084	5.4204016	5.0823545
incR991	lnc-DLEU7-9:1	12.33213	12.644844	12.128608	12.614248	13.043655	12.992757
incR992	lnc-DLGAP1-9:1	0.9479066	1.0437799	0.95495933	2.013989	1.7425213	1.857125
incR993	lnc-DLX5-1:1	1.0377021	1.4316363	0.82341146	1.497736	2.0353985	1.5446787
incR994	lnc-DMRT2-3:1	5.5600233	5.38125	5.592241	6.005965	5.9468737	5.8162866
incR995	lnc-DMRTA1-18:1	4.2824173	4.1331687	3.94927	4.5576434	4.5598035	4.810044
incR996	lnc-DMRTA1-7:1	3.3308039	3.8297744	2.9046688	3.8546886	4.302265	4.3753314
incR997	lnc-DMXL2-1:1	7.697871	7.6187153	7.934655	7.951351	8.542778	8.448785
incR998	lnc-DNAH7-2:1	2.3942084	2.5438988	2.9937892	3.6052086	3.3962908	3.428076
incR999	lnc-DNAJA4-1:1	4.6594114	4.498917	3.9682157	4.827455	5.2002387	4.8995376
incR1000	lnc-DPY30-5:1	0.8551717	1.6240144	2.5266542	2.9081657	2.7181354	3.059601
incR1001	lnc-DSG1-11:1	5.7838216	5.9888945	6.0295253	6.258337	6.636877	6.6054964
incR1002	lnc-DUSP19-3:1	10.553928	10.819589	10.356373	10.804448	11.142338	11.007347
incR1003	lnc-DUSP4-6:1	4.315941	4.3228364	3.9320614	4.7133393	4.3757515	4.806304
incR1004	lnc-DYDC1-8:1	6.155491	6.2468734	6.4728622	6.842737	7.1603613	7.233639
incR1005	lnc-DYSF-3:1	3.7823188	4.046541	3.9116178	4.354613	4.9638004	4.486732
incR1006	lnc-EBNA1BP2-1:7	2.4756308	2.849448	2.2385597	3.275784	3.8309906	3.584605
incR1007	lnc-EFCAB6-1:1	4.554926	4.6822777	4.351226	4.992742	4.9870653	5.1314087
incR1008	lnc-EFHA2-1:1	7.5536056	7.4802065	7.800378	7.8094234	8.382939	8.186051
incR1009	lnc-EFHD2-1:1	2.3336163	2.250384	2.507417	3.5167496	2.781952	3.264176
incR1010	lnc-EGLN3-1:2	1.0126516	2.8604853	1.3331785	2.9706602	3.599438	2.9844856
incR1011	lnc-EGR1-1:1	9.345657	9.416718	8.939798	9.587309	9.713777	9.686795
incR1012	lnc-EID1-3:2	1.4033087	0.97700036	0.908504	1.4770325	1.9770318	1.885637
incR1013	lnc-EIF1AY-3:1	0.9527359	1.7626282	1.5632563	2.653641	3.1226974	2.779725
incR1014	lnc-EIF2C3-1:1	5.1208735	5.110422	5.074895	5.5068555	5.675123	5.5565896
incR1015	lnc-ELMO3-1:1	4.0012655	3.2588904	3.6301005	4.045044	4.4406986	4.363933
incR1016	lnc-ELP3-1:1	4.142927	4.030596	4.152295	4.352993	4.649624	4.4964056
incR1017	lnc-EMB-10:1	5.575042	5.318082	5.7360816	6.053562	6.2795005	6.0198092
incR1018	lnc-EML1-3:4	7.03409	6.848804	6.734809	7.0179586	7.648538	7.4799395
incR1019	lnc-EML5-3:2	7.7935305	7.575781	8.142675	8.184094	8.53108	8.539504
incR1020	lnc-ENDOD1-1:1	5.1750617	6.077675	6.117084	6.9176764	8.954474	6.910713
incR1021	lnc-EPB41L2-1:1	3.1011293	3.2753127	3.6442428	4.0741873	3.9726887	4.3470473
incR1022	lnc-EPB41L4B-2:1	0.8712545	0.8061438	0.91019	1.1826339	1.3036137	2.0707724
incR1023	lnc-EPC1-2:1	13.386316	13.346582	12.915356	13.468531	13.76932	13.838609
incR1024	lnc-ERICH1-13:1	5.1202602	5.0172853	5.3677125	5.633125	5.6914234	5.8618255
incR1025	lnc-ERN1-1:1	2.9022799	3.1269798	3.245083	3.8328512	3.495052	4.216791
incR1026	lnc-ETS2-4:1	5.3128824	5.6687455	5.329986	5.841891	6.065585	6.1853647
incR1027	lnc-F11-7:1	1.0863824	1.1332953	1.1341176	3.0310214	1.7524734	2.790871
incR1028	lnc-FAM102B-3:3	3.39189	3.5504837	3.4745653	3.6048706	4.5107274	4.288334
incR1029	lnc-FAM114A1-2:1	1.4766572	2.2729058	2.0348418	2.9957008	2.7992282	2.6908615
incR1030	lnc-FAM115A-3:1	4.3753996	4.8765264	4.690119	4.977019	5.3065944	5.257478
incR1031	lnc-FAM177A1-1:2	3.9232738	4.312153	4.292204	4.643603	4.621852	4.9233494
incR1032	lnc-FAM187A-6:1	2.0623968	0.9626405	1.6831748	2.620964	2.2801223	3.0360663
incR1033	lnc-FAM210A-5:1	4.2488275	4.0094166	4.173244	4.587929	4.4705734	4.69448
incR1034	lnc-FAM49A-7:1	0.8787199	0.99098396	0.9024102	1.4286834	2.0797393	1.8932939
incR1035	lnc-FAM63B-5:1	3.9304075	4.4845185	4.39945	4.6336565	4.7682996	4.754075
incR1036	lnc-FARP1-2:1	3.7478795	3.9842587	3.9734592	4.058548	4.268243	4.5444517
incR1037	lnc-FBXO10-1:1	9.720842	9.783916	9.759294	10.012338	10.681604	10.520328
incR1038	lnc-FBXO11-3:1	8.006282	8.624013	8.32705	8.702143	8.843756	8.784549
incR1039	lnc-FBXO15-1:1	4.6668005	4.97196	4.891674	5.3225713	5.3759613	5.3796372
incR1040	lnc-FBXO15-3:3	2.9002488	3.6097803	3.152057	4.2754292	4.0740304	3.9637902
incR1041	lnc-FBXO15-6:3	1.9752694	2.3076022	2.4942486	2.783766	2.5794744	2.7757282
incR1042	lnc-FBXO15-8:1	4.147959	4.6123652	4.6457243	5.018838	5.2907047	5.7048745
incR1043	lnc-FBXO21-1:1	1.0620633	0.9447498	1.0300107	2.441636	2.1759732	2.1883414
incR1044	lnc-FBXO30-1:1	1.1552877	1.0705853	1.8774366	1.9246616	3.3301713	2.8633354
incR1045	lnc-FBXO45-9:1	4.370833	4.617753	4.8860645	5.229346	5.109217	4.9225183
incR1046	lnc-FBXW8-3:1	0.88004124	0.9844287	0.86606544	1.7416747	1.6511891	2.4851394
incR1047	lnc-FCF1-1:1	3.0973814	3.269502	3.1781614	3.9704525	3.8521397	3.874203
incR1048	lnc-FEZ2-2:1	0.9626194	1.3247937	2.308072	2.66965	2.3362007	2.5034804
incR1049	lnc-FGF14-3:1	4.0849094	4.224099	4.2925615	4.47306	4.967917	4.6234736
incR1050	lnc-FGFR1OP-14:1	0.857085	0.84667647	0.8544349	1.0955803	1.9026849	1.9644551
incR1051	lnc-FGFR1OP-16:1	1.6880832	1.7659633	1.0362672	2.9981635	3.1423497	2.0293777
incR1052	lnc-FH-2:1	2.4741287	2.8006682	3.1679773	3.3438773	3.320018	3.3939054
incR1053	lnc-FIGNL1-1:1	3.6181266	3.6757128	3.237668	3.8788464	4.116262	4.163225
incR1054	lnc-FILIP1L-5:1	4.669261	5.1045833	4.912485	5.3501687	5.4326906	5.363933
incR1055	lnc-FMN2-5:1	4.849312	4.876982	4.886395	5.3458138	5.6508083	5.154041
incR1056	lnc-FNDC3B-10:1	3.2385354	3.6641502	3.4662695	4.0124874	3.9572024	4.18653
incR1057	lnc-FOXC1-4:2	1.9995682	1.9271461	2.0514386	2.78345	3.2238855	2.9519057
incR1058	lnc-FOXP1-4:1	4.7752557	5.0668063	5.1354876	5.2417703	5.602337	5.897669
incR1059	lnc-FOXP3-1:1	2.931912	3.0016773	2.7313142	3.3410964	3.4974284	3.7325392
incR1060	lnc-FSHB-1:1	2.5218663	2.473364	2.1332357	2.8694081	2.9068093	2.914151
incR1061	lnc-FSHB-8:1	2.9894638	3.216483	2.5911472	3.8804471	3.8246841	4.416004
incR1062	lnc-FUBP1-4:1	1.0573487	1.068709	1.6838937	2.6747231	1.9734446	1.9019765
incR1063	lnc-GABPA-12:1	6.5063744	6.847067	6.989308	7.0562854	7.289026	7.192404
incR1064	lnc-GABRE-9:1	0.94202954	0.94287866	1.7498438	2.5221694	2.227377	1.6931626
incR1065	lnc-GABRG1-2:1	1.5708926	0.9220531	0.91163045	2.4381187	2.6342115	2.3573763
incR1066	lnc-GADD45A-8:1	5.258023	5.0835004	5.593248	5.6233606	5.652665	5.8545637
